Pedido;Cliente;Produto;Valor Venda;Quantidade Vendida;Custo Envio;Data Pedido
CA-2012-124891;RH-19495;TEC-AC-10003033;2309,65;7;933,57;31/07/2012
IN-2013-77878;JR-16210;FUR-CH-10003950;3709,395;9;923,63;31/07/2012
IN-2013-71249;CR-12730;TEC-PH-10004664;5175,171;9;915,49;05/02/2013
ES-2013-1579342;KM-16375;TEC-PH-10004583;2892,51;5;910,16;17/10/2013
SG-2013-4320;RH-9495;TEC-SHA-10000501;2832,96;8;903,04;28/01/2013
IN-2013-42360;JM-15655;TEC-PH-10000030;2862,675;5;897,35;05/11/2013
IN-2011-81826;TS-21340;FUR-CH-10004050;1822,08;4;894,77;28/06/2013
IN-2012-86369;MB-18085;FUR-TA-10002958;5244,84;6;878,38;07/11/2011
CA-2014-135909;JW-15220;OFF-BI-10003527;5083,96;5;867,69;14/04/2012
CA-2012-116638;JH-15985;FUR-TA-10000198;4297,644;13;865,74;14/10/2014
CA-2011-102988;GM-14695;OFF-SU-10002881;4164,05;5;846,54;28/01/2012
ID-2012-28402;AJ-10780;FUR-TA-10001889;4626,15;5;835,57;05/04/2011
SA-2011-1830;MM-7260;TEC-CIS-10001717;2616,96;4;832,41;19/04/2012
MX-2012-130015;VF-21715;FUR-CH-10002033;2221,8;7;810,25;27/12/2011
IN-2013-73951;PF-19120;OFF-AP-10003500;3701,52;12;804,54;13/11/2012
ES-2014-5099955;BP-11185;OFF-AP-10000423;1869,588;4;801,66;06/06/2013
CA-2014-143567;TB-21175;TEC-AC-10004145;2249,91;9;780,7;31/07/2014
ES-2014-1651774;PJ-18835;OFF-AP-10004512;7958,58;14;778,32;03/11/2014
IN-2014-11763;JS-15685;TEC-CO-10000865;2565,594;9;766,93;08/09/2014
TZ-2014-8190;RH-9555;OFF-KIT-10004058;3409,74;6;763,38;31/01/2014
PL-2012-7820;AB-600;FUR-HON-10000224;1977,72;4;759,47;05/12/2014
CA-2011-154627;SA-20830;TEC-PH-10001363;2735,952;6;752,51;08/08/2012
IN-2011-44803;JK-15325;FUR-CH-10000027;2754;6;752,47;29/10/2011
ES-2013-2860574;LB-16795;OFF-AP-10003590;5273,7;10;730,91;02/05/2011
US-2014-133193;NP-18325;TEC-PH-10004182;1713,84;4;728,97;27/02/2013
MX-2014-165309;VD-21670;FUR-TA-10002827;2106,496;8;728,39;31/07/2014
IN-2011-10286;PB-19210;FUR-TA-10004744;1715,16;2;725,57;05/09/2014
ES-2011-4699764;EB-14110;OFF-AP-10004512;3069,738;6;725,34;17/12/2011
CA-2013-159016;KF-16285;TEC-PH-10002885;4158,912;8;714,66;14/03/2011
IN-2012-44810;BP-11230;FUR-CH-10001415;1878,72;4;704,08;11/03/2013
US-2011-128776;RR-19525;TEC-PH-10002815;1696,64;5;704,06;25/02/2012
ES-2012-5870268;BS-11365;TEC-MA-10000161;2402,865;9;699,55;28/12/2011
CA-2012-139731;JE-15745;FUR-CH-10002024;2453,43;5;690,42;17/07/2012
IN-2011-28087;DP-13105;OFF-AP-10004246;2526,93;5;689,8;15/10/2012
CA-2011-168494;NP-18700;FUR-TA-10003473;3610,848;12;683,12;03/11/2011
CG-2011-8610;AH-30;TEC-APP-10000308;3817,26;6;678,15;12/12/2011
CA-2011-160766;DM-13015;TEC-MA-10003979;2799,96;4;675,15;14/09/2011
US-2014-168116;GT-14635;TEC-MA-10004125;7999,98;4;674,82;14/09/2011
ES-2014-2637201;PO-18865;TEC-CO-10000013;4141,02;13;668,96;05/11/2014
IN-2011-61302;DL-12865;TEC-PH-10004664;2875,095;5;665,27;14/01/2014
ID-2013-63976;JB-16000;TEC-PH-10000499;3200,5962;6;660,87;10/01/2011
IN-2014-37320;BF-11005;TEC-PH-10003856;4518,78;7;658,69;22/08/2013
IN-2014-76016;VG-21805;FUR-BO-10004852;5667,87;13;658,35;11/11/2014
ES-2012-5877219;GT-14710;TEC-PH-10004583;5785,02;9;656,73;26/09/2014
IT-2011-3183678;ZC-21910;OFF-AP-10000486;3018,624;7;655,91;13/12/2012
CA-2011-116904;SC-20095;OFF-BI-10001120;9449,95;5;655,61;23/09/2011
IT-2013-3085011;EB-13840;FUR-CH-10003365;2092,5;5;652,98;23/09/2011
IN-2014-50473;AP-10915;FUR-CH-10000602;2761,2;6;644,75;08/03/2013
IN-2014-35983;SW-20275;TEC-MA-10002680;2174,13;7;637,86;28/08/2014
MX-2014-126984;JH-15820;FUR-CH-10000891;3473,14;11;634,53;01/05/2014
US-2012-163825;LC-16885;OFF-BI-10003527;3050,376;3;632,05;18/12/2014
IR-2014-8540;TG-11640;TEC-CAN-10003392;2108,64;8;630,97;16/06/2012
